index,oversample,decision_boundary,alpha,train_recall_mean,train_recall_std_dev,validate_recall_mean,validate_recall_std_dev,overfit
0,1,0.5,0,0.774313599,0.009463119,0.673809524,0.161896008,-12.9797637
1,1,0.5,10,0.768307593,0.010623966,0.673809524,0.191381776,-12.29951003
2,1,0.5,20,0.762301587,0.015045497,0.69047619,0.155902391,-9.42217595
3,1,0.5,30,0.759298584,0.01761165,0.673809524,0.180167471,-11.25895165
4,1,0.5,40,0.756896182,0.018095118,0.647619048,0.182628515,-14.43753277
5,1,0.5,50,0.753893179,0.019182023,0.647619048,0.182628515,-14.09670949
6,1,0.5,60,0.752086015,0.022178854,0.655952381,0.189820299,-12.78226583
7,1,0.5,70,0.743672244,0.023225134,0.664285714,0.191018573,-10.6749351
8,1,0.5,80,0.736486486,0.020494258,0.680952381,0.186817541,-7.54041066
9,1,0.5,90,0.729279279,0.023030312,0.680952381,0.169265453,-6.62666549
10,1,0.5,100,0.723278636,0.021807699,0.689285714,0.156600797,-4.69983763
11,1,0.35,0,0.848745174,0.013571127,0.75,0.170782513,-11.63425452
12,1,0.35,10,0.85954526,0.012199312,0.783333333,0.18521759,-8.866540228
13,1,0.35,20,0.876356714,0.013684759,0.808333333,0.169967317,-7.762065315
14,1,0.35,30,0.886556199,0.01305938,0.833333333,0.149071198,-6.003326781
15,1,0.35,40,0.893157443,0.009790566,0.85,0.138443731,-4.832008454
16,1,0.35,50,0.906960532,0.011723325,0.858333333,0.143372088,-5.361556199
17,1,0.35,60,0.92016302,0.017694071,0.883333333,0.14043583,-4.0025176
18,1,0.35,70,0.927970828,0.015430544,0.891666667,0.143372088,-3.912209329
19,1,0.35,80,0.936373874,0.014884474,0.908333333,0.106718737,-2.994588094
20,1,0.35,90,0.943575719,0.014519993,0.9,0.113651514,-4.618147512
21,1,0.35,100,0.948380523,0.01374328,0.908333333,0.116069902,-4.222692164
22,1,0.2,0,0.924973187,0.010201078,0.816666667,0.143372088,-11.70915247
23,1,0.2,10,0.937569713,0.009600975,0.866666667,0.116069902,-7.56242922
24,1,0.2,20,0.96038181,0.009766852,0.883333333,0.14043583,-8.022692248
25,1,0.2,30,0.97238846,0.005168782,0.933333333,0.11055416,-4.016411976
26,1,0.2,40,0.978394466,0.006399368,0.95,0.109924216,-2.90214907
27,1,0.2,50,0.984395109,0.005161728,0.95,0.109924216,-3.494034973
28,1,0.2,60,0.988593951,0.005169094,0.966666667,0.071686044,-2.218027371
29,1,0.2,70,0.990395753,0.002248764,0.983333333,0.042491829,-0.713090655
30,1,0.2,80,0.995801158,0.004488792,0.991666667,0.031180478,-0.415192491
31,1,0.2,90,0.998203561,0.003592919,0.991666667,0.031180478,-0.65486583
32,1,0.2,100,0.998804161,0.003048838,0.991666667,0.031180478,-0.714604015
33,0.85,0.5,0,0.748514586,0.019916121,0.66547619,0.173434037,-11.09375784
34,0.85,0.5,10,0.749104462,0.017898856,0.657142857,0.166010614,-12.27620568
35,0.85,0.5,20,0.740106178,0.020361674,0.657142857,0.183873663,-11.20965112
36,0.85,0.5,30,0.746090734,0.023148398,0.655952381,0.18425095,-12.08141967
37,0.85,0.5,40,0.746096096,0.024236113,0.655952381,0.18425095,-12.08205158
38,0.85,0.5,50,0.753893179,0.024836416,0.655952381,0.18425095,-12.99133626
39,0.85,0.5,60,0.758097383,0.030523218,0.655952381,0.18425095,-13.47386291
40,0.85,0.5,70,0.754499142,0.032492116,0.672619048,0.168737139,-10.85224486
41,0.85,0.5,80,0.749099099,0.026288714,0.688095238,0.171882666,-8.143630272
42,0.85,0.5,90,0.741881167,0.025967388,0.679761905,0.165531851,-8.3732092
43,0.85,0.5,100,0.734084084,0.024678583,0.722619048,0.152622576,-1.561815154
44,0.85,0.35,0,0.820516946,0.017954674,0.707142857,0.147801347,-13.81739756
45,0.85,0.35,10,0.85233269,0.015073473,0.783333333,0.196143372,-8.095354939
46,0.85,0.35,20,0.866151866,0.013845486,0.808333333,0.157233019,-6.675334324
47,0.85,0.35,30,0.879348992,0.014283458,0.841666667,0.161158997,-4.28525256
48,0.85,0.35,40,0.898552124,0.012562527,0.875,0.144337567,-2.621119347
49,0.85,0.35,50,0.919573145,0.014480012,0.875,0.144337567,-4.84715597
50,0.85,0.35,60,0.927965465,0.014735289,0.883333333,0.14043583,-4.809675984
51,0.85,0.35,70,0.937569713,0.015953157,0.891666667,0.11055416,-4.895960832
52,0.85,0.35,80,0.945972758,0.014356329,0.9,0.113651514,-4.859839574
53,0.85,0.35,90,0.948375161,0.015253482,0.908333333,0.116069902,-4.2221506
54,0.85,0.35,100,0.953179966,0.012400559,0.916666667,0.108653373,-3.830682592
55,0.85,0.2,0,0.906365294,0.00972838,0.808333333,0.157233019,-10.81594377
56,0.85,0.2,10,0.935773273,0.010849193,0.85,0.145773797,-9.16603153
57,0.85,0.2,20,0.957979408,0.008509308,0.891666667,0.135912554,-6.92214684
58,0.85,0.2,30,0.970586658,0.006131551,0.925,0.109924216,-4.696814829
59,0.85,0.2,40,0.981386744,0.006133389,0.925,0.109924216,-5.745619068
60,0.85,0.2,50,0.986792149,0.005573823,0.958333333,0.09860133,-2.883972676
61,0.85,0.2,60,0.990395753,0.002248764,0.975,0.06770032,-1.554505141
62,0.85,0.2,70,0.993999356,0.004243141,0.991666667,0.031180478,-0.234677197
63,0.85,0.2,80,0.995200558,0.004489509,0.991666667,0.031180478,-0.355093353
64,0.85,0.2,90,0.999399399,0.002247242,0.991666667,0.031180478,-0.773737981
65,0.85,0.2,100,0.999399399,0.002247242,0.991666667,0.031180478,-0.773737981
66,0.7,0.5,0,0.720897683,0.016595898,0.614285714,0.177951304,-14.78877954
67,0.7,0.5,10,0.710698198,0.018022944,0.632142857,0.16583124,-11.05326301
68,0.7,0.5,20,0.699887387,0.014411188,0.61547619,0.177839771,-12.06068268
69,0.7,0.5,30,0.690277778,0.013823501,0.614285714,0.159426054,-11.00891061
70,0.7,0.5,40,0.678265766,0.015338758,0.613095238,0.167852921,-9.608405873
71,0.7,0.5,50,0.679461604,0.012452315,0.613095238,0.173948086,-9.767493252
72,0.7,0.5,60,0.683665809,0.017792499,0.604761905,0.170142331,-11.54129736
73,0.7,0.5,70,0.692068855,0.023398944,0.621428571,0.151971175,-10.20711779
74,0.7,0.5,80,0.696862934,0.020919665,0.629761905,0.155328633,-9.629014013
75,0.7,0.5,90,0.714274989,0.015062185,0.664285714,0.140788595,-6.998603583
76,0.7,0.5,100,0.722093522,0.01877709,0.705952381,0.148671364,-2.23532557
77,0.7,0.35,0,0.811529387,0.015525897,0.716666667,0.161158997,-11.68937582
78,0.7,0.35,10,0.834936722,0.014551526,0.758333333,0.179505494,-9.174753852
79,0.7,0.35,20,0.850541613,0.016031662,0.791666667,0.162446572,-6.922053604
80,0.7,0.35,30,0.87035607,0.014556712,0.825,0.163299316,-5.211208596
81,0.7,0.35,40,0.886556199,0.010277043,0.858333333,0.143372088,-3.183426584
82,0.7,0.35,50,0.902767053,0.010948466,0.866666667,0.14043583,-3.998859505
83,0.7,0.35,60,0.923171386,0.01308931,0.875,0.144337567,-5.218032796
84,0.7,0.35,70,0.933971471,0.015320375,0.9,0.113651514,-3.637313613
85,0.7,0.35,80,0.947179322,0.014660387,0.908333333,0.116069902,-4.101228557
86,0.7,0.35,90,0.961583012,0.012941564,0.925,0.109924216,-3.804456936
87,0.7,0.35,100,0.9747855,0.013246383,0.925,0.109924216,-5.10732872
88,0.7,0.2,0,0.89255148,0.01417322,0.808333333,0.157233019,-9.435662659
89,0.7,0.2,10,0.921975547,0.012972697,0.833333333,0.155902391,-9.614377945
90,0.7,0.2,20,0.953174603,0.008853586,0.866666667,0.147667043,-9.075770192
91,0.7,0.2,30,0.965781853,0.008205464,0.933333333,0.11055416,-3.359818766
92,0.7,0.2,40,0.981992707,0.006579372,0.941666667,0.11055416,-4.106551916
93,0.7,0.2,50,0.987998713,0.006289046,0.95,0.109924216,-3.846028593
94,0.7,0.2,60,0.992798155,0.006740322,0.983333333,0.042491829,-0.953348061
95,0.7,0.2,70,0.99760296,0.005159739,0.991666667,0.031180478,-0.595055716
96,0.7,0.2,80,0.999399399,0.002247242,0.991666667,0.031180478,-0.773737981
97,0.7,0.2,90,0.999399399,0.002247242,0.991666667,0.031180478,-0.773737981
98,0.7,0.2,100,1,0,1,0,0
